system:index,date,ssrd_sum_J_m2,.geo
20040716,2004-07-16,1.929159185298897E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040717,2004-07-17,1.9806101194750465E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040718,2004-07-18,1.1631155576585786E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040719,2004-07-19,1.9537035921417523E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040720,2004-07-20,2.1749347947023045E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040721,2004-07-21,2.0223837954929456E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040722,2004-07-22,1.854555373009852E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040723,2004-07-23,1.9491683891798604E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040724,2004-07-24,1.763503932779482E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040725,2004-07-25,1.695782204410732E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040726,2004-07-26,1.6914412681997873E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040727,2004-07-27,1.645726068565006E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040728,2004-07-28,1.5790263239098582E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040729,2004-07-29,1.6113395434631664E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040730,2004-07-30,1.9900271502016723E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040731,2004-07-31,1.2505441482792513E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040801,2004-08-01,1.9672252057953566E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040802,2004-08-02,1.8570568306784652E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040803,2004-08-03,2.1657113396624707E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040804,2004-08-04,2.3190274791844755E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040805,2004-08-05,2.0736860336684518E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040806,2004-08-06,2.026819791656132E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040807,2004-08-07,2.308236061682017E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040808,2004-08-08,2.253019515726525E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040809,2004-08-09,1.7840805816306464E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040810,2004-08-10,2.1842298471093442E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040811,2004-08-11,2.2585368192964487E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040812,2004-08-12,2.3359925784640685E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040813,2004-08-13,2.234806646258503E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040814,2004-08-14,2.113481099307687E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040815,2004-08-15,2.194479031794192E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040816,2004-08-16,1.950831630236991E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
