system:index,date,temperature_2m,.geo
243,2004-08-31,300.1390832265218,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2004-09-01,299.96277554829913,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,2004-09-02,299.760897954305,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,2004-09-03,300.5431162516276,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,2004-09-04,300.72294362386066,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,2004-09-05,300.1078300476074,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,2004-09-06,300.02073351542157,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2004-09-07,299.87958399454754,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,2004-09-08,300.4794114430745,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,2004-09-09,300.61546834309894,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,2004-09-10,300.27745882670087,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,2004-09-11,300.7020066579183,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,2004-09-12,300.09767723083496,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,2004-09-13,299.62149238586426,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,2004-09-14,300.2766361236572,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,2004-09-15,300.5384407043457,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,2004-09-16,300.22484016418457,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,2004-09-17,299.9492594401042,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,2004-09-18,299.7349459330241,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,2004-09-19,300.14838218688965,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,2004-09-20,300.4269256591797,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,2004-09-21,300.51944287618,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,2004-09-22,300.30695215861004,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,2004-09-23,300.52325503031415,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,2004-09-24,300.7031052907308,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,2004-09-25,300.34160232543945,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,2004-09-26,300.56422932942706,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,2004-09-27,300.73886426289874,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,2004-09-28,300.71517690022785,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,2004-09-29,300.3953628540039,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,2004-09-30,300.0749568939209,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,2004-10-01,300.4944527943929,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,2004-10-02,300.6057529449463,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,2004-10-03,300.6694761912028,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,2004-10-04,300.459036509196,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,2004-10-05,300.69618034362793,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,2004-10-06,300.10772641499835,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,2004-10-07,300.06235122680664,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,2004-10-08,300.2067120869954,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,2004-10-09,300.7536449432373,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,2004-10-10,300.58824412027997,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,2004-10-11,300.6517906188965,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,2004-10-12,300.66727383931476,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,2004-10-13,300.4358673095703,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,2004-10-14,300.90012232462567,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,2004-10-15,300.8481725056966,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,2004-10-16,300.62552134195965,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,2004-10-17,300.577096303304,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,2004-10-18,300.7081006368001,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,2004-10-19,300.6504605611165,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,2004-10-20,300.95769691467285,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,2004-10-21,300.8780975341797,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,2004-10-22,300.7372741699219,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,2004-10-23,300.60643068949383,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,2004-10-24,300.6646868387858,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,2004-10-25,300.2819309234619,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,2004-10-26,299.8178704579671,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,2004-10-27,299.95211092631024,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,2004-10-28,300.5946127573649,"{""type"":""MultiPoint"",""coordinates"":[]}"
